stage,multiplier,P,seed,feasible_raw,row_violations,col_violations,travel,gap_vs_2opt_ratio,gap_vs_2opt_pct
B,5.0,190.0,129,True,0,0,51.0,1.5454545454545454,54.54545454545454
B,5.0,190.0,132,True,0,0,51.0,1.5454545454545454,54.54545454545454
B,5.0,190.0,139,True,0,0,51.0,1.5454545454545454,54.54545454545454
B,5.0,190.0,141,True,0,0,52.0,1.5757575757575757,57.57575757575758
B,5.0,190.0,130,True,0,0,53.0,1.606060606060606,60.60606060606061
B,5.0,190.0,128,True,0,0,54.0,1.6363636363636365,63.63636363636363
B,5.0,190.0,137,True,0,0,54.0,1.6363636363636365,63.63636363636363
B,5.0,190.0,140,True,0,0,55.0,1.6666666666666667,66.66666666666666
B,5.0,190.0,127,True,0,0,56.0,1.696969696969697,69.6969696969697
B,5.0,190.0,125,True,0,0,57.0,1.7272727272727273,72.72727272727273
B,5.0,190.0,138,True,0,0,57.0,1.7272727272727273,72.72727272727273
B,5.0,190.0,133,True,0,0,58.0,1.7575757575757576,75.75757575757575
B,5.0,190.0,135,True,0,0,59.0,1.7878787878787878,78.78787878787878
B,5.0,190.0,143,True,0,0,60.0,1.8181818181818181,81.81818181818183
B,5.0,190.0,134,True,0,0,61.0,1.8484848484848484,84.84848484848484
B,5.0,190.0,142,True,0,0,61.0,1.8484848484848484,84.84848484848484
B,8.0,304.0,147,True,0,0,54.0,1.6363636363636365,63.63636363636363
B,8.0,304.0,158,True,0,0,54.0,1.6363636363636365,63.63636363636363
B,8.0,304.0,161,True,0,0,54.0,1.6363636363636365,63.63636363636363
B,8.0,304.0,162,True,0,0,55.0,1.6666666666666667,66.66666666666666
B,8.0,304.0,149,True,0,0,56.0,1.696969696969697,69.6969696969697
B,8.0,304.0,163,True,0,0,56.0,1.696969696969697,69.6969696969697
B,8.0,304.0,152,True,0,0,57.0,1.7272727272727273,72.72727272727273
B,8.0,304.0,157,True,0,0,58.0,1.7575757575757576,75.75757575757575
B,8.0,304.0,159,True,0,0,58.0,1.7575757575757576,75.75757575757575
B,8.0,304.0,145,True,0,0,59.0,1.7878787878787878,78.78787878787878
B,8.0,304.0,151,True,0,0,59.0,1.7878787878787878,78.78787878787878
B,8.0,304.0,148,True,0,0,60.0,1.8181818181818181,81.81818181818183
B,8.0,304.0,153,True,0,0,61.0,1.8484848484848484,84.84848484848484
B,8.0,304.0,155,True,0,0,61.0,1.8484848484848484,84.84848484848484
B,8.0,304.0,156,True,0,0,61.0,1.8484848484848484,84.84848484848484
B,8.0,304.0,160,True,0,0,61.0,1.8484848484848484,84.84848484848484
B,8.0,304.0,154,True,0,0,62.0,1.878787878787879,87.87878787878788
B,8.0,304.0,150,True,0,0,64.0,1.9393939393939394,93.93939393939394
B,8.0,304.0,146,True,0,0,65.0,1.9696969696969697,96.96969696969697
B,8.0,304.0,164,True,0,0,67.0,2.0303030303030303,103.03030303030303
B,10.0,380.0,176,True,0,0,50.0,1.5151515151515151,51.515151515151516
B,10.0,380.0,177,True,0,0,55.0,1.6666666666666667,66.66666666666666
B,10.0,380.0,180,True,0,0,57.0,1.7272727272727273,72.72727272727273
B,10.0,380.0,181,True,0,0,57.0,1.7272727272727273,72.72727272727273
B,10.0,380.0,169,True,0,0,62.0,1.878787878787879,87.87878787878788
B,10.0,380.0,183,True,0,0,62.0,1.878787878787879,87.87878787878788
B,10.0,380.0,184,True,0,0,62.0,1.878787878787879,87.87878787878788
B,10.0,380.0,178,True,0,0,63.0,1.9090909090909092,90.9090909090909
B,10.0,380.0,165,True,0,0,64.0,1.9393939393939394,93.93939393939394
B,10.0,380.0,182,True,0,0,64.0,1.9393939393939394,93.93939393939394
B,10.0,380.0,166,True,0,0,65.0,1.9696969696969697,96.96969696969697
B,10.0,380.0,174,True,0,0,65.0,1.9696969696969697,96.96969696969697
B,10.0,380.0,168,True,0,0,66.0,2.0,100.0
B,10.0,380.0,170,True,0,0,66.0,2.0,100.0
